Name, ID, Latitude, Longitude
Evergem, BE.NMBS.008893252, 51.107585, 3.70138
Eygelshoven markt, BE.NMBS.008400234, 50.89607, 6.057451
Ezemaal, BE.NMBS.008833449, 50.772126, 4.994217
Familleureux, BE.NMBS.008883238, 50.519358, 4.211581
Farciennes, BE.NMBS.008874567, 50.429148, 4.55265
Faux, BE.NMBS.008872611, 50.621826, 4.54926
Fexhe-le-Haut-Clocher, BE.NMBS.008841467, 50.664049, 5.398453
Flawinne, BE.NMBS.008861127, 50.456236, 4.806298
Flemalle-Grande, BE.NMBS.008843166, 50.605349, 5.480983
Flemalle-Haute, BE.NMBS.008843208, 50.595308, 5.457656
Fleurus, BE.NMBS.008872413, 50.481927, 4.543741
Floreffe, BE.NMBS.008861135, 50.443328, 4.762368
Florenville, BE.NMBS.008866845, 49.706967, 5.331115
Florival, BE.NMBS.008811767, 50.761501, 4.653868
Florée, BE.NMBS.008864923, 50.357786, 5.056099
Fontaine-Valmont, BE.NMBS.008871688, 50.321164, 4.212785
Forchies, BE.NMBS.008871514, 50.433314, 4.325384
Forrières, BE.NMBS.008864311, 50.132759, 5.276784
Fraipont, BE.NMBS.008844255, 50.565059, 5.723665
Frameries, BE.NMBS.008881570, 50.405932, 3.906586
Franchimont, BE.NMBS.008844347, 50.525723, 5.822223
Franière, BE.NMBS.008861143, 50.439543, 4.733548
Frankfurt am Main Flughafen Fernbf, BE.NMBS.008061676, 50.13083, 8.663611
Frankfurt am Main Flughafen Reginalbf, BE.NMBS.008011090, 50.051696, 8.569853
Frankfurt am Main Hbf, BE.NMBS.008011068, 50.1071318, 8.6653708
Froyennes, BE.NMBS.008885068, 50.62989, 3.354837
Galmaarden, BE.NMBS.008895620, 50.743918, 3.965726
Gastuche, BE.NMBS.008811742, 50.736646, 4.649598
Gavere-Asper, BE.NMBS.008892643, 50.930021, 3.639732
Gedinne, BE.NMBS.008865649, 49.984123, 4.978073
Geel, BE.NMBS.008832433, 51.168955, 4.988608
Gembloux, BE.NMBS.008861200, 50.570489, 4.691497
Gendron-Celles, BE.NMBS.008863834, 50.211235, 4.964607
Genk, BE.NMBS.008831765, 50.967057, 5.497685
Genly, BE.NMBS.008881562, 50.390642, 3.911638
Gentbrugge, BE.NMBS.008893179, 51.038647, 3.756322
Genval, BE.NMBS.008811528, 50.725697, 4.514832
Geraardsbergen, BE.NMBS.008895505, 50.771137, 3.872328
Ghent-Dampoort, BE.NMBS.008893120, 51.056365, 3.740591
Ghent-Sint-Pieters, BE.NMBS.008892007, 51.035896, 3.710675
Ghlin, BE.NMBS.008881125, 50.487411, 3.906343
Glons, BE.NMBS.008841731, 50.750426, 5.535431
Godarville, BE.NMBS.008871381, 50.492795, 4.290308
Godinne, BE.NMBS.008863560, 50.348914, 4.86996
Goebelsmühle, BE.NMBS.008200129, 49.92104, 6.053335
Gontrode, BE.NMBS.008893047, 50.980199, 3.801672
Gouvy, BE.NMBS.008845005, 50.189409, 5.953906
Gouvy-Frontiere, BE.NMBS.008849072, 50.171653, 5.968613
Gouy-lez-Pieton, BE.NMBS.008871373, 50.497065, 4.325123
Graide, BE.NMBS.008865615, 49.934134, 5.043047
Groenendaal, BE.NMBS.008811445, 50.766103, 4.449489
Groot-Bijgaarden, BE.NMBS.008812229, 50.868337, 4.273543
Grupont, BE.NMBS.008864337, 50.0906, 5.280524
Haacht, BE.NMBS.008822517, 50.966428, 4.613309
Haaltert, BE.NMBS.008895869, 50.906838, 4.023958
Habay, BE.NMBS.008866142, 49.718249, 5.632685
Hainin, BE.NMBS.008884327, 50.428019, 3.766893
Halanzy, BE.NMBS.008866530, 49.5562, 5.741347
Halle, BE.NMBS.008814308, 50.733931, 4.240634
Ham-sur-Heure, BE.NMBS.008873387, 50.319555, 4.404696
Ham-sur-Sambre, BE.NMBS.008861168, 50.45255, 4.669392
Hambos, BE.NMBS.008822533, 50.944251, 4.66301
Hamoir, BE.NMBS.008842846, 50.428181, 5.533561
Hamont, BE.NMBS.008832664, 51.246424, 5.543279
Hansbeke, BE.NMBS.008891165, 51.073202, 3.536212
Harchies, BE.NMBS.008884640, 50.482565, 3.698764
Harelbeke, BE.NMBS.008896115, 50.85586, 3.314008
Haren, BE.NMBS.008811155, 50.888878, 4.419978
Haren-Sud/Haren-Zuid, BE.NMBS.008811130, 50.889696, 4.415357
Hasselt, BE.NMBS.008831005, 50.930822, 5.327627
Haute-Flône, BE.NMBS.008843349, 50.55349, 5.330333
Haute-Picardie TGV, BE.NMBS.008731388, 49.85894, 2.49565
Haversin, BE.NMBS.008864832, 50.249044, 5.194371
Havre, BE.NMBS.008881430, 50.470754, 4.059987
Heerlen, BE.NMBS.008400307, 50.89095, 5.974577
Heide, BE.NMBS.008821519, 51.364623, 4.460483
Heist, BE.NMBS.008891645, 51.333979, 3.239181
Heist-op-den-Berg, BE.NMBS.008821832, 51.074146, 4.708235
Heizijde, BE.NMBS.008812153, 50.989593, 4.156171
Hellemmes, BE.NMBS.008728606, 50.626941, 3.108892
Hemiksem, BE.NMBS.008824224, 51.136243, 4.338293
Hennuyères, BE.NMBS.008883022, 50.651005, 4.175893
Herent, BE.NMBS.008811288, 50.90353, 4.672188
Herentals, BE.NMBS.008821717, 51.181513, 4.829535
Hergenrath, BE.NMBS.008844644, 50.718209, 6.041335
Hergenrath-Frontiere, BE.NMBS.008849023, 50.718955, 6.041269
Herne, BE.NMBS.008895646, 50.723701, 4.014573
Herseaux, BE.NMBS.008885753, 50.713894, 3.245959
Herstal, BE.NMBS.008841608, 50.660911, 5.622761
Herzele, BE.NMBS.008895430, 50.89722, 3.880616
Herzogenrath, BE.NMBS.008015190, 50.8709, 6.0944
Heusden, BE.NMBS.008832243, 51.038207, 5.281782
Hever, BE.NMBS.008822459, 50.997791, 4.537637
Heverlee, BE.NMBS.008833126, 50.86253, 4.6952
Hillegem, BE.NMBS.008895422, 50.891296, 3.857469
Hoboken-Polder, BE.NMBS.008824158, 51.182699, 4.347785
Hoeilaart, BE.NMBS.008811460, 50.760161, 4.467414
Hofstade, BE.NMBS.008822277, 50.988658, 4.498336
Holleken, BE.NMBS.008814159, 50.767631, 4.353952
Hollerich, BE.NMBS.008200710, 49.59516, 6.120938
Hony, BE.NMBS.008842655, 50.539917, 5.573563
Houraing, BE.NMBS.008886553, 50.703062, 3.835175
Hourpes, BE.NMBS.008871829, 50.363692, 4.308736
Houyet, BE.NMBS.008863842, 50.189868, 5.006074
Hove, BE.NMBS.008821337, 51.154114, 4.465157
Huizingen, BE.NMBS.008814415, 50.7519, 4.266487
Huy, BE.NMBS.008843307, 50.527242, 5.234211
Idar-Oberstein, BE.NMBS.008003040, 49.699371, 7.321228
Iddergem, BE.NMBS.008895844, 50.876886, 4.06849
