Road, Path, Type, Length [km], European Road
R4, Ghent (outer ring), ring road, , 
R5, Mons, ring road, , 
R6, Mechelen, ring road, , 
R7, Liège, ring road, , 
R8, Kortrijk, ring road, , 
R9, Charleroi (inner ring), ring road, , 
R10, Antwerp (inner ring), ring road, , 
R11, Antwerp (second outer ring), ring road, , 
R12, Mechelen (inner ring), ring road, , 
R13, Turnhout, ring road, , 
R14, Geel, ring road, , 
R15, Herentals, ring road, , 
R16, Lier, ring road, , 
R18, Retie, ring road, , 
R20, Small ring of Brussels, ring road, , 
R21, Intermediate Ring of Brussels, ring road, , 
R22, Greater ring or second ring of Brussels, ring road, , 
R23, Leuven, ring road, , 
R24, Nivelles, ring road, , 
R25, Aarschot, ring road, , 
R26, Diest, ring road, , 
R27, Tienen, ring road, , 
R30, Bruges, ring road, , 
R31, Ostend, ring road, , 
R32, Roeselare, ring road, , 
R33, Poperinge, ring road, , 
R34, Torhout, ring road, , 
R35, Waregem, ring road, , 
R36, Kortrijk, ring road, , 
R40, Ghent (inner ring), ring road, , 
R41, Aalst, ring road, , 
R42, Sint-Niklaas, ring road, , 
R43, Eeklo, ring road, , 
R50, Mons (inner ring), ring road, , 
R51, Charleroi (inner ring), ring road, , 
R52, Tournai, ring road, , 
R53, Châtelet, ring road, , 
R54, La Louvière, ring road, , 
R55, Chimay, ring road, , 
R61, Verviers, ring road, , 
R62, Hannut, ring road, , 
R70, Hasselt (inner ring), ring road, , 
R71, Hasselt (outer ring), ring road, , 
R72, Tongeren, ring road, , 
R73, Bree, ring road, ,
