ID, Name, Date, In Danger, Danger list, long, lat, Area [ha], Category, Countries, Region
183, "Archaeological Site of Leptis Magna", 1982, 1, Y 2016, 14.29306, 32.63833, 387.485, Cultural, "Libya", "Arab States"
184, "Archaeological Site of Sabratha", 1982, 1, Y 2016, 12.485, 32.80528, 90.534, Cultural, "Libya", "Arab States"
185, "Aldabra Atoll", 1982, 0, , 46.41666667, -9.416666667, 35000, Natural, "Seychelles", "Africa"
186, "Lord Howe Island Group", 1982, 0, , 159.0883333, -31.56555556, 146300, Natural, "Australia", "Asia and the Pacific"
187, "St Mary's Cathedral and St Michael's Church at Hildesheim", 1985, 0, , 9.94389, 52.15278, 0.58, Cultural, "Germany", "Europe and North America"
188, "M'Zab Valley", 1982, 0, , 3.68333, 32.48333, 665.03, Cultural, "Algeria", "Arab States"
189, "Historic Centre of the Town of Olinda", 1982, 0, , -34.845, -8.013333333, 190.9, Cultural, "Brazil", "Latin America and the Caribbean"
190, "Archaeological Site of Cyrene", 1982, 1, Y 2016, 21.85833, 32.825, 131.675, Cultural, "Libya", "Arab States"
191, "Djémila", 1982, 0, , 5.73667, 36.32056, 30.6, Cultural, "Algeria", "Arab States"
192, "Old Walled City of Shibam", 1982, 1, Y 2015, 48.62667, 15.92694, 0, Cultural, "Yemen", "Arab States"
193, "Tipasa", 1982, 0, P 2002-2006, 2.383333333, 36.55, 52.16, Cultural, "Algeria", "Arab States"
194, "Timgad", 1982, 0, , 6.468861111, 35.48416667, 90.54, Cultural, "Algeria", "Arab States"
195, "Taï National Park", 1982, 0, , -7.095277778, 5.648888889, 508186, Natural, "Côte d'Ivoire", "Africa"
196, "Río Plátano Biosphere Reserve", 1982, 1, Y 2011 P 1996-2007, -84.675, 15.74444444, 350000, Natural, "Honduras", "Latin America and the Caribbean"
198, "Cahokia Mounds State Historic Site", 1982, 0, , -90.06138889, 38.65861111, 541, Cultural, "United States of America", "Europe and North America"
199, "Selous Game Reserve", 1982, 1, Y 2014, 37.4, -9, 5120000, Natural, "United Republic of Tanzania", "Africa"
200, "Sacred City of Anuradhapura", 1982, 0, , 80.38333333, 8.333333333, 0, Cultural, "Sri Lanka", "Asia and the Pacific"
201, "Ancient City of Polonnaruwa", 1982, 0, , 81.00055556, 7.915833333, 0, Cultural, "Sri Lanka", "Asia and the Pacific"
202, "Ancient City of Sigiriya", 1982, 0, , 80.75, 7.95, 0, Cultural, "Sri Lanka", "Asia and the Pacific"
