RFC0251, Weather data, , October 1971, DOI 10.17487/RFC0251, D. Stern, 
RFC0252, Network host status, RFC0255, October 1971, DOI 10.17487/RFC0252, E. Westheimer, 
RFC0253, Second Network Graphics meeting details, , October 1971, DOI 10.17487/RFC0253, J. Moorer, 
RFC0254, Scenarios for using ARPANET computers, , October 1971, DOI 10.17487/RFC0254, A. Bhushan, 
RFC0255, Status of network hosts, RFC0266, October 1971, DOI 10.17487/RFC0255, E. Westheimer, 
RFC0256, IMPSYS change notification, , November 1971, DOI 10.17487/RFC0256, B. Cosell, 
RFC0263, Very Distant Host interface, , December 1971, DOI 10.17487/RFC0263, A. McKenzie, 
RFC0264, The Data Transfer Protocol, RFC0354, January 1972, DOI 10.17487/RFC0264, A. Bhushan; B. Braden; W. Crowther; E. Harslem; J. Heafner; A. McKenize; B. Sundberg; D. Watson; J. White, 
RFC0265, The File Transfer Protocol, RFC0354, November 1971, DOI 10.17487/RFC0265, A. Bhushan; B. Braden; W. Crowther; E. Harslem; J. Heafner; A. McKenzie; J. Melvin; B. Sundberg; D. Watson; J. White, 
RFC0266, Network host status, RFC0267, November 1971, DOI 10.17487/RFC0266, E. Westheimer, 
RFC0267, Network Host Status, RFC0287, November 1971, DOI 10.17487/RFC0267, E. Westheimer, 
RFC0268, Graphics facilities information, , November 1971, DOI 10.17487/RFC0268, J. Postel, 
RFC0269, Some Experience with File Transfer, , December 1971, DOI 10.17487/RFC0269, H. Brodie, 
RFC0270, Correction to BBN Report No. 1822 (NIC NO 7958), , January 1972, DOI 10.17487/RFC0270, A. McKenzie, 
RFC0271, IMP System change notifications, , January 1972, DOI 10.17487/RFC0271, B. Cosell, 
RFC0273, More on standard host names, , October 1971, DOI 10.17487/RFC0273, R. Watson, 
RFC0274, Establishing a local guide for network usage, , November 1971, DOI 10.17487/RFC0274, E. Forman, 
