NCC, Country, Company, 
070, United States of America, AT&T Mobility, 
08, Austria, Lycamobile, 
08, Belgium, VOOmobile, 
08, Burundi, Lumitel, 
08, Cambodia, Metfone, 
08, Chile, VTR Movil, 
08, China, China Mobile, 
08, Czech Republic, Compatel, 
08, Denmark, Voxbone / Bandwidth, 
08, Finland, NSN, 
08, France, SFR, 
08, Georgia, Silknet, 
08, Germany, Telefonica / O2, 
08, Ghana, Surfline, 
08, Guadeloupe and Martinique and French Guiana, Amigo, 
08, Hong Kong, Tru, 
08, Iceland, Siminn, 
08, India, Reliance Mobile, 
08, Indonesia, XL, 
08, Iran, Shatel Mobile, 
08, Ireland, Meteor, 
08, Israel, Golan Telecom, 
08, Italy, Fastweb, 
08, Kazakhstan, Kazakhstan Online, 
08, Laos, Beeline, 
08, Latvia, VENTA Mobile, 
08, Netherlands, KPN, 
08, Norway, Telia / NetCom, 
08, Portugal, MEO, 
08, Singapore, Starhub, 
08, Slovakia, Uniphone, 
08, South Korea, olleh / KT, 
08, Spain, Euskaltel Movil, 
08, Sri Lanka, Hutch, 
08, Sweden, Telenor, 
08, Switzerland, Sunrise, 
08, United Kingdom, BT OnePhone, 
08, Vietnam, I-Telecom, 
080, United States of America, AT&T Mobility, 
09, Austria, A1 Telekom, 
09, Chile, WOM, 
09, China, China Unicom, 
09, Czech Republic, Uniphone, 
09, Finland, NSN, 
09, France, SFR, 
09, Germany, Vodafone, 
09, Greece, Wind, 
09, India, Reliance Mobile, 
09, Indonesia, Smartfren, 
09, Israel, We4G, 
09, Kenya, Homeland Media, 
09, Kiribati, FrigateNet, 
09, Kyrgyzstan, O!, 
09, Latvia, XOmobile, 
09, Liechtenstein, EMnify, 
09, Myanmar, Mytel, 
09, Netherlands, Lycamobile, 
09, Norway, Com4, 
09, Poland, Lycamobile, 
09, Russia, Skylink, 
09, Singapore, Circles.Life, 
09, Spain, Orange, 
09, Sweden, Com4, 
09, Switzerland, Comfone, 
09, Tanzania, Halotel / Viettel, 
09, United Kingdom, Tismi, 
09, Vietnam, Reddi, 
090, United States of America, AT&T Mobility, 
099, Belize, Smart, 
10, Armenia, Orange, 
10, Australia, Norfolk Telecom, 
10, Austria, 3, 
10, Belgium, Mobistar / Orange, 
10, Brazil, Vivo, 
10, Chile, Entel, 
10, China, China Unicom, 
10, Congo, MTN, 
10, Croatia, A1 / VIP, 
10, Cyprus, Epic / MTN, 
10, Denmark, TDC, 
10, France, SFR, 
10, Georgia, Premium Net, 
10, Germany, DB Netz, 
10, Greece, Wind, 
10, Hong Kong, SUN Mobile / CSL, 
10, India, Airtel, 
10, Indonesia, Telkomsel, 
10, Italy, Vodafone, 
10, Japan, NTT DoCoMo, 
10, Kenya, Jamii Telecommunications, 
10, Kyrgyzstan, Saima, 
10, Latvia, LMT, 
10, Luxembourg, Blue Communications, 
10, Malawi, Airtel, 
10, Malaysia, DiGi, 
10, Mauritania, Mauritel, 
10, Mauritius, Emtel, 
10, Mayotte, SFR, 
10, Monaco, Monaco Telecom, 
10, Netherlands, KPN, 
10, Norway, Nkom, 
10, Peru, Claro, 
10, Poland, T-Mobile, 
10, Romania, Orange, 
10, Rwanda, MTN, 
10, Seychelles, Airtel, 
10, Singapore, TPG Telecom, 
10, Slovenia, Slovenske zeleznice, 
10, Somalia, Nationlink, 
10, South Africa, MTN, 
10, Spain, Zinnia, 
10, Swaziland, Swazi MTN, 
10, Uganda, MTN, 
10, United Kingdom, O2, 
10, Uruguay, Claro, 
101, Colombia, Claro, 
103, Colombia, Tigo, 
11, American Samoa, BlueSky, 
11, Australia, Telstra, 
11, Austria, A1 Telekom, 
11, Bhutan, B-Mobile, 
11, Brazil, Vivo, 
11, Brunei, DST, 
11, Bulgaria, Bulsatcom, 
11, Cambodia, Seatel, 
11, Chile, Celupago, 
11, China, China Telecom, 
11, France, SFR, 
11, Georgia, Mobilive, 
11, Germany, Telefonica / O2, 
11, Hong Kong, CHKTL, 
11, Iceland, NOVA, 
11, India, Vodafone, 
11, Indonesia, XL, 
11, International Networks, Inmarsat, 
11, Iran, MCI, 
11, Ireland, Tesco Mobile, 
11, Japan, Rakuten Mobile, 
11, Kenya, Jambo Telcoms, 
11, Malaysia, Telekom Malaysia, 
11, North Macedonia, Mobik, 
11, Poland, Plus, 
11, Puerto Rico, Claro, 
11, Russia, Yota, 
11, Saint Kitts and Nevis, Flow, 
11, Saint Lucia, Flow, 
11, Serbia, Globaltel, 
11, Singapore, M1, 
11, South Korea, SK Telecom, 
11, Sweden, Com Hem, 
11, Taiwan, Chunghwa Telecom, 
11, Tanzania, Smile Communications, 
11, Uganda, Mango, 
11, United Kingdom, O2, 
110, Dominica, Flow, 
110, Grenada, Flow, 
110, Guam, IT&E, 
110, Jamaica, Flow, 
110, Puerto Rico, Claro, 
110, Saint Kitts and Nevis, Flow, 
110, Saint Lucia, Flow, 
110, Saint Vincent and the Grenadines, Flow, 
