DIN, Title, Status, DIN replacement, Other org replacement, Last version
DIN 553, "Slotted set screws with cone point", Withdrawn, DIN EN 27434, ISO 7434, 
DIN 555, "M5 to M100x6 hexagon nuts - Product grade C", Withdrawn, DIN EN ISO 4034, ISO 4034, 
DIN 558, "Hexagon head screws", Withdrawn, DIN EN ISO 4018, ISO 4018, 
DIN 580, "Collar eyebolts for lifting purposes", Active, , , 
DIN 601, "M5 to M52 hexagon head bolts; product grade C", Withdrawn, DIN EN ISO 4016, ISO 4016, 
DIN 603, "Mushroom head square neck bolts", Active, , , 
DIN 609, "Hexagon fits bolts with long thread", Active, , , 
DIN 625-1, "Rolling bearings; single row radial contact ball bearings", Active, , , 
DIN 625-3, "Rolling bearings; double row radial contact ball bearings", Active, , , 
DIN 625-4, "Rolling bearings; radial contact groove ball bearings with flanged outer ring", Active, , , 
DIN 653, "Knurled thumb screws, low type", Active, , , 
DIN 678-1, "Envelopes - Part 1: Sizes", Active, , , 
DIN 678-2, "Envelopes - Part 2: Envelopes for Processing in Enveloping Machines, Size C6 to C4", Active, , , 
DIN 763, "Tested, non-calibrated, long-link round steel chains", Active, , , 
DIN 764-1, "Calibrated and tested round steel link chains for continuous conveyors; grade 2, pitch 3,5d", Active, , , 
DIN 764-2, "Calibrated and tested round steel link chains for continuous conveyors; grade 3, pitch 3,5d", Active, , , 
DIN 766, "Calibrated and tested grade 3 round steel link chains", Active, , , 
DIN 799-1, "Foundation Blocks", Active, , , 
DIN 820-1, "Standards Work - Part 1: Principles", Active, , , 
DIN 820-2, "Standardization - Part 2: Presentation of standards; examples for presentation of figures, tables and part lists", Active, , , 
DIN 820-3, "Standardization - Part 3: Concepts", Active, , , 
DIN 820-4, "Standardization - Part 4: Working procedure", Active, , , 
DIN 820-11, "Standardization - Part 11: Presentation of Standards concerning safety regulations which are VDE-Specifications or VDE-Guidelines", Active, , , 
DIN 820-12, "Standardization - Part 12: Presentation of standards concerning safety regulations", Active, , , 
DIN 820-13, "Standardization - Part 13: Adoption of European documents of CEN, CENELEC and of ETSI; Concepts and presentation", Active, , , 
DIN 820-15, "Standardization - Part 15: Implementation of ISO and IEC international documents; Concepts and presentation", Active, , , 
DIN 820-120, "Standardization - Part 120: Guidelines for the inclusion of safety aspects in standards (ISO/IEC Guide 51:1999)", Active, , , 
DIN 824, "Technical drawings; Folding to filing size", Active, , , 
DIN 899, "Hand Operated Wrenches and Sockets; Technical Specifications", Withdrawn, DIN ISO 1711-1, ISO 1711-1, 
DIN 906, "internal drive pipe plugs for the sealing of holes with cylindrical internal threads", Active, , , 
DIN 908, "Hexagon socket screw plugs with parallel screw thread", Active, , , 
