DIN, Title, Status, DIN replacement, Other org replacement, Last version
DIN 66399, "Three-part standard regarding the seven security levels of paper shredders; replaces DIN 32757", Active, , , 
DIN 69901, "Project controlling; project management; concepts", Active, , , 
DIN 71412, "Lubricating nipples; cone type", Active, , , 
DIN 72311-1, "Lead storage batteries; starter batteries for motorcycles, nominal capacities, main dimensions", Active, , , 
DIN 72311-4, "Lead storage batteries; starter batteries, terminals, vent plugs and filler openings", Active, , , 
DIN 72311-8, "Lead storage batteries; starter batteries for motor cycles and passenger cars", Active, , , 
DIN 72311-13, "Lead storage batteries; starter batteries for starting, lighting and ignition, 12 V, 27, 36, 45 and 54 Ah, for lateral basic fastening 10,5", Active, , , 
DIN 72311-16, "Lead storage batteries; starter batteries for starting, lighting and ignition, 12 V, 27, 36, 45, 54 and 63 Ah, for lateral basic fastening 19", Active, , , 
DIN 72311-17, "Lead storage batteries; starter batteries, protective covering for terminal", Active, , , 
DIN 72311-18, "Lead storage batteries; starter batteries with basic fastening 10,5 for passenger cars and commercial vehicles; nominal capacities, main dimensions", Active, , , 
DIN 72311-20, "Lead storage batteries; starter batteries for commercial vehicles; nominal capacities and main dimensions", Active, , , 
DIN 72311-21, "Lead storage batteries; starter batteries with 10,5 basic fastening lugs for commercial vehicles; nominal capacities and main dimensions", Active, , , 
DIN 72552-1, "Terminal markings for motor vehicles; scope, principles, requirements", Active, , , 
DIN 72552-2, "Terminal markings for motor vehicles; codes", Active, , , 
DIN 72552-3, "Terminal markings for motor vehicles; examples for application on circuit diagrams", Active, , , 
DIN 72552-4, "Terminal markings for motor vehicles; summary", Active, , , 
DIN 75490, "Radio communication devices in motor vehicles; installation space, general requirements", Active, , , 
DIN SPEC 77229-1, "Technical services - Performance categories and content for industrial process plants - Part 1: Pipeline construction " , , 2024-10 
DIN 91379, "Characters and defined character sequences in Unicode for the electronic processing of names and data exchange in Europe", Active, , 
