District, ID, Type, Area [km2]
Wittenberg, 15171, Landkreis (until 2007-06-30), -
Halle (Saale), 15202, kreisfreie Stadt (until 2007-06-30), -
Burgenlandkreis (until 2007-06-30), 15256, , -
Mansfelder Land, 15260, Landkreis (until 2007-06-30), -
Merseburg-Querfurt, 15261, Landkreis (until 2007-06-30), -
Saalkreis (until 2007-06-30), 15265, , -
Sangerhausen, 15266, Landkreis (until 2007-06-30), -
Weißenfels, 15268, Landkreis (until 2007-06-30), -
Magdeburg, 15303, kreisfreie Stadt (until 2007-06-30), -
Aschersleben-Staßfurt, 15352, Landkreis (until 2007-06-30, -
Bördekreis (until 2007-06-30), 15355, , -
Halberstadt, 15357, Landkreis (until 2007-06-30), -
Jerichower Land, 15358, Landkreis (until 2007-06-30), -
Ohrekreis (until 2007-06-30), 15362, , -
Stendal, 15363, Landkreis (until 2007-06-30), -
Quedlinburg, 15364, Landkreis (until 2007-06-30), -
Schönebeck, 15367, Landkreis (until 2007-06-30), -
Wernigerode, 15369, Landkreis (until 2007-06-30), -
Altmarkkreis Salzwedel (until 2007-06-30), 15370, , -
Erfurt, 16051, kreisfreie Stadt, 269.91
Gera, 16052, kreisfreie Stadt, 152.18
Jena, 16053, kreisfreie Stadt, 114.77
Suhl, 16054, kreisfreie Stadt, 141.62
Weimar, 16055, kreisfreie Stadt, 84.47
Eisenach, 16056, kreisfreie Stadt (until 2021-06-30), -
Eichsfeld, 16061, Landkreis, 991.15
Nordhausen, 16062, Landkreis, 713.91
Wartburgkreis, 16063, , 1,371.13
Unstrut-Hainich-Kreis, 16064, , 931.6
Kyffhäuserkreis, 16065, , 1,037.91
Schmalkalden-Meiningen, 16066, Landkreis, 1,251.21
Gotha, 16067, Landkreis, 936.08
Sömmerda, 16068, Landkreis, 806.85
Hildburghausen, 16069, Landkreis, 938.42
Ilm-Kreis, 16070, , 805.11
Weimarer Land, 16071, Landkreis, 804.48
Sonneberg, 16072, Landkreis, 460.85
Saalfeld-Rudolstadt, 16073, Landkreis, 1,008.78
Saale-Holzland-Kreis, 16074, , 815.24
Saale-Orla-Kreis, 16075, , 1,151.31
Greiz, 16076, Landkreis, 845.98
Altenburger Land, 16077, Landkreis, 569.42
