ICS, Parent ICS, Title, Scope, 
45.08, 45, Rails and railway components, Including track components, 
45.1, 45, Cableway equipment, Including ropeway equipment, 
45.12, 45, Equipment for railway/cableway construction and maintenance, , 
45.14, 45, Metroand  tram and light rail equipment, , 
47.02, 47, Shipbuilding and marine structures in general, Including offshore structuresand  except offshore structures for petroleum and natural gas industriesand  and seabed mining, 
47.04, 47, Seagoing vessels, Including their systems and components, 
47.06, 47, Inland navigation vessels, Including their systems and components, 
47.08, 47, Small craft, Including small craft systems and componentsand  and life-saving appliances, 
49.02, 49, Aircraft and space vehicles in general, Including aircraft performanceand  flight dynamicsand  etc., 
49.025, 49, Materials for aerospace construction, , 
49.03, 49, Fasteners for aerospace construction, , 
49.035, 49, Components for aerospace construction, Including bearingsand  rod ends and other mechanical components, 
49.04, 49, Coatings and related processes used in aerospace industry, , 
49.045, 49, Structure and structure elements, , 
49.05, 49, Aerospace engines and propulsion systems, Including fuel systems, 
49.06, 49, Aerospace electric equipment and systems, Including Avionics, 
49.08, 49, Aerospace fluid systems and components, , 
49.09, 49, On-board equipment and instruments, Including navigation instruments and telecommunications equipment, 
49.095, 49, Passenger and cabin equipment, , 
49.1, 49, Ground service and maintenance equipment, , 
49.12, 49, Cargo equipment, , 
49.14, 49, Space systems and operations, Including space data and information transfer systemsand  and ground support equipment for launch site operations, 
53.02, 53, Lifting equipment, , 
53.04, 53, Continuous handling equipment, , 
53.06, 53, Industrial trucks, Including fork-lift trucksand  sliding platformsand  etc., 
53.08, 53, Storage equipment, Including loading devicesand  shelvesand  etc., 
53.1, 53, Earth-moving machinery, Including tractorsand  excavatorsand  loadersand  gradersand  etc., 
53.12, 53, Equipment for manual handling, Including shovelsand  spadesand  crowbarsand  picksand  etc., 
55.02, 55, Packaging and distribution of goods in general, , 
55.04, 55, Packaging materials and accessories, Including wrappersand  paperand  filmsand  foilsand  cordsand  sealing devicesand  cushioningand  etc., 
