AMD Athlon 64 FX-74; Desktop; F(1207); 3.0GHZ; ; 2; 2; 125W; ; ; 
AMD Athlon 64 X2 3800+; Desktop; 939; 2.0GHZ; ; 2; 2; 89W; ; ; 
AMD Athlon 64 X2 Dual Core 3400+; Desktop; 754; 2.2GHZ; ; 2; 2; 89W; ; ; 
AMD Athlon 64 X2 Dual Core 3600+; Desktop; AM2; 2.0GHZ; ; 2; 2; 65W; ; ; 
AMD Athlon 64 X2 Dual Core 3800+; Desktop; AM2; 2.0GHZ; ; 2; 2; 89W; ; ; 
AMD Athlon 64 X2 Dual Core 4000+; Desktop; AM2; 2.1GHZ; ; 2; 2; 65W; ; ; 
AMD Athlon 64 X2 Dual Core 4200+; Desktop; AM2; 2.2GHZ; ; 2; 2; 89W; ; ; 
AMD Athlon 64 X2 Dual Core 4400+; Desktop; AM2; 2.3GHZ; ; 2; 2; 65W; ; ; 
AMD Athlon 64 X2 Dual Core 4600+; Desktop; AM2; 2.4GHZ; ; 2; 2; 65W; ; ; 
AMD Athlon 64 X2 Dual Core 4800+; Desktop; AM2; 2.5GHZ; ; 2; 2; 65W; ; ; 
AMD Athlon 64 X2 Dual Core 5000+; Desktop; AM2; 2.6GHZ; ; 2; 2; 65W; ; ; 
AMD Athlon 64 X2 Dual Core 5200+; Desktop; AM2; 2.7GHZ; ; 2; 2; 65W; ; ; 
AMD Athlon 64 X2 Dual Core 5400+; Desktop; AM2; 2.8GHZ; ; 2; 2; 65W; ; ; 
AMD Athlon 64 X2 Dual Core 5600+; Desktop; AM2; 2.8GHZ; ; 2; 2; 89W; ; ; 
AMD Athlon 64 X2 Dual Core 5800+; Desktop; ; 3.0GHZ; ; 2; 2; 89W; ; ; 
AMD Athlon 64 X2 Dual Core 6000+; Desktop; AM2; 3.0GHZ; ; 2; 2; 89W; ; ; 
AMD Athlon 64 X2 Dual Core 6400+; Desktop; AM2; 3.2GHZ; ; 2; 2; 125W; ; ; 
AMD Athlon 64 X2 Dual Core BE-2300; Desktop; AM2; 1.9GHZ; ; 2; 2; 45W; ; ; 
AMD Athlon 64 X2 Dual Core BE-2350; Desktop; AM2; 2.1GHZ; ; 2; 2; 45W; ; ; 
AMD Athlon 64 X2 Dual-Core TK-42; ; ; 1.6GHZ; ; 2; 2; 20W; ; ; 
AMD Athlon 64 X2 Dual-Core TK-53; ; ; 1.7GHZ; ; 2; 2; 31W; ; ; 
AMD Athlon 64 X2 Dual-Core TK-55; ; ; 1.8GHZ; ; 2; 2; 35W; ; ; 
AMD Athlon 64 X2 Dual-Core TK-57; ; ; 1.9GHZ; ; 2; 2; 31W; ; ; 
AMD Athlon 64 X2 QL-60; Laptop; S1; 1.9GHZ; ; 2; 2; 35W; ; ; 
AMD Athlon 64 X2 QL-62; Laptop; S1; 2.0GHZ; ; 2; 2; 35W; ; ; 
AMD Athlon 64 X2 QL-64; Laptop; S1; 2.1GHZ; ; 2; 2; 35W; ; ; 
AMD Athlon 64 X2 QL-65; Laptop; S1; 2.1GHZ; ; 2; 2; 35W; ; ; 
AMD Athlon 64 X2 QL-66; Laptop; S1; 2.2GHZ; ; 2; 2; 35W; ; ; 
AMD Athlon 64 X2 QL-67; Laptop; S1; 2.2GHZ; ; 2; 2; 35W; ; ; 
AMD Athlon 200GE; Desktop; AM4; 3.2GHZ; 3.2GHZ; 2; 4; 35W; ; ; 
AMD Athlon 220GE; Laptop; AM4; 3.4GHZ; ; 2; 4; 35W; ; ; 
AMD Athlon 240GE; Desktop; AM4; 3.5GHZ; ; 2; 4; 35W; ; ; 
AMD Athlon 300GE; Desktop; AM4; 3.4GHZ; ; 2; 4; 35W; ; ; 
AMD Athlon 300U; Laptop; FP5; 2.4GHZ; 3.3GHZ; 2; 4; 15W; ; ; 
AMD Athlon 320GE; Desktop; AM4; 3.5GHZ; ; 2; 4; 35W; ; ; 
AMD Athlon 1500+; ; ; 1.3GHZ; ; 1; 1; ; ; ; 
AMD Athlon 1640B; Desktop; AM2; 2.7GHZ; ; 1; 1; 45W; ; ; 
AMD Athlon 2650e; Desktop; AM2; 1.6GHZ; ; 1; 1; 15W; ; ; 
AMD Athlon 2800+; ; 754; 2.1GHZ; ; 1; 1; 89W; ; ; 
AMD Athlon 2850e; Desktop; AM2; 1.8GHZ; ; 1; 1; 22W; ; ; 
AMD Athlon 3000G; Desktop; AM4; 3.5GHZ; ; 2; 4; 35W; ; ; 
AMD Athlon 5000 Dual-Core; Desktop; AM2,AM2+; 2.2GHZ; ; 2; 2; 65W; ; ; 
AMD Athlon 5150 APU; Desktop; AM1,FS1b; 1.6GHZ; ; 4; 4; 25W; ; ; 
AMD Athlon 5200 Dual-Core; Desktop; AM2; 2.7GHZ; ; 2; 2; 75W; ; ; 
AMD Athlon 5350 APU; Desktop; AM1,FS1B; 2.1GHZ; ; 4; 4; 25W; ; ; 
AMD Athlon 5370 APU; Desktop; AM1,FS1B; 2.2GHZ; ; 4; 4; 25W; ; ; 
AMD Athlon 7450 Dual-Core; Desktop; AM2+; 2.4GHZ; ; 2; 2; 95W; ; ; 
AMD Athlon 7550 Dual-Core; Desktop; AM2+; 2.5GHZ; ; 2; 2; 95W; ; ; 
AMD Athlon 7750 Dual-Core; Desktop; AM2+; 2.7GHZ; ; 2; 2; 95W; ; ; 
AMD Athlon 7850 Dual-Core; Desktop; AM2+; 2.8GHZ; ; 2; 2; 95W; ; ; 
AMD Athlon Dual Core 4050e; Desktop; AM2; 2.1GHZ; ; 2; 2; 45W; ; ; 
AMD Athlon Dual Core 4450B; Desktop; AM2+; 2.3GHZ; ; 2; 2; 45W; ; ; 
AMD Athlon Dual Core 4450e; Desktop; AM2; 2.3GHZ; ; 2; 2; 45W; ; ; 
AMD Athlon Dual Core 4850B; Desktop; AM2+; 2.5GHZ; ; 2; 2; 45W; ; ; 
AMD Athlon Dual Core 4850e; Desktop; AM2; 2.5GHZ; ; 2; 2; 45W; ; ; 
AMD Athlon Dual Core 5000B; Desktop; AM2; 2.6GHZ; ; 2; 2; 65W; ; ; 
AMD Athlon Dual Core 5050e; Desktop; AM2; 2.6GHZ; ; 2; 2; 45W; ; ; 
AMD Athlon Dual Core 5200B; Desktop; AM2; 2.7GHZ; ; 2; 2; 65W; ; ; 
AMD Athlon Dual Core 5400B; Desktop; AM2; 2.8GHZ; ; 2; 2; 65W; ; ; 
AMD Athlon Dual Core 5600B; Desktop; AM2+; 2.9GHZ; ; 2; 2; 65W; ; ; 
AMD Athlon Gold 3150G; Desktop; AM4; 3.5GHZ; 3.9GHZ; 4; 4; 65W; 45W; ; 
