AMD R748G2400S2S 8GB, 135, 15.2, 8.2, DDR4,
AMD R748G2400U2S 8GB, 23, 16.4, 11.2, DDR4,
AMD R748G2400U2S-UO 8GB, 21, 18.2, 13.7, DDR4,
AMD R748G2606U2S 8GB, 61, 15, 8.9, DDR4,
AMD R948G2806U2S 8GB, 25, 14.7, 10.2, DDR4,
AMD R948G3206U2S 8GB, 36, 18.5, 12.9, DDR4,
AMD R7416G2133U2S 16GB, 78, 13.5, 6.7, DDR4,
AMD R7416G2400U2S 16GB, 22, 18.1, 14.6, DDR4,
Apacer Technology 76.B305G.D500B 4GB, 101, 13.9, 6.7, DDR4,
Apacer Technology 76.C102G.D170B 8GB, 31, 16.1, 13.2, DDR4,
Apacer Technology 76.D105G.D090B 16GB, 23, 17.9, 13.3, DDR4,
Apacer Technology 76.D305G.D060B 16GB, 33, 16.6, 13.4, DDR4,
Apacer Technology 76.D305G.D390B 16GB, 39, 13.4, 7.3, DDR4,
Apacer Technology 78.B1GM3.AF00B 4GB, 25, 13.1, 6.4, DDR4,
Apacer Technology 78.B1GM3.C7W0B 4GB, 24, 16, 11.4, DDR4,
Apacer Technology 78.B1GN3.4032B 4GB, 79, 13.9, 7.8, DDR4,
Apacer Technology 78.B1GN3.AZ32B 4GB, 69, 16.4, 9, DDR4,
Apacer Technology 78.B1GQB.4010B 4GB, 71, 13.5, 5.2, DDR4,
Apacer Technology 78.B1GS6.AUC0B 4GB, 28, 11.7, 6, DDR4,
Apacer Technology 78.BAGM6.40C0B 4GB, 22, 13.8, 7.1, DDR4,
Apacer Technology 78.BAGMD.AF20B 4GB, 21, 18.5, 13.6, DDR4,
Apacer Technology 78.BAGN8.40C0B 4GB, 50, 9.6, 8, DDR4,
Apacer Technology 78.BAGN8.AZC0B 4GB, 71, 15.9, 8, DDR4,
Apacer Technology 78.BAGNF.40C0B 4GB, 60, 18, 9.3, DDR4,
Apacer Technology 78.BAGP4.AR50C 4GB, 71, 15.4, 8.2, DDR4,
Apacer Technology 78.BAGSR.4030B 4GB, 73, 14.5, 7.7, DDR4,
Apacer Technology 78.C1GM3.C7W0B 8GB, 78, 13.4, 6.6, DDR4,
Apacer Technology 78.C1GM3.C7Z0B 8GB, 25, 13, 6.5, DDR4,
Apacer Technology 78.C1GM3.C7Z0C 8GB, 26, 14.7, 9.7, DDR4,
Apacer Technology 78.C1GMM.AUC0B 8GB, 23, 14.7, 6.9, DDR4,
Apacer Technology 78.C1GMM.AUF0B 8GB, 29, 13.3, 10.1, DDR4,
Apacer Technology 78.C1GMM.AUW0C 8GB, 71, 14.3, 7, DDR4,
Apacer Technology 78.C1GMM.BAC0B 8GB, 81, 13.9, 7.5, DDR4,
Apacer Technology 78.C1GMM.DFW0C 8GB, 24, 12.3, 6.2, DDR4,
Apacer Technology 78.C1GMS.C7Z0C 8GB, 24, 16.9, 12.8, DDR4,
Apacer Technology 78.C1GMW.AUC0B 8GB, 24, 13.7, 6.8, DDR4,
Apacer Technology 78.C1GMW.AZC0B 8GB, 24, 17.2, 12.5, DDR4,
Apacer Technology 78.C1GQ5.C7C0B 8GB, 81, 13, 6.6, DDR4,
Apacer Technology 78.C1GQB.4032B 8GB, 30, 17.5, 13.7, DDR4,
Apacer Technology 78.C1GS7.AUC0B 8GB, 21, 18.4, 14.4, DDR4,
Apacer Technology 78.C1GS7.AUW0B 8GB, 29, 16.4, 12.8, DDR4,
Apacer Technology 78.C1GS7.DFW0C 8GB, 27, 17.3, 13.1, DDR4,
Apacer Technology 78.C2GF2.AU00B 8GB, 28, 15.4, 12.2, DDR4,
Apacer Technology 78.C2GF6.AU20B 8GB, 25, 12.3, 5.7, DDR4,
Apacer Technology 78.C2GFA.AF30B 8GB, 26, 14.8, 12.2, DDR4,
Apacer Technology 78.C2GFK.AR20B 8GB, 26, 12.8, 9.2, DDR4,
Apacer Technology 78.C2GFL.C720B 8GB, 28, 14.5, 11.1, DDR4,
Apacer Technology 78.C2GFP.C700B 8GB, 31, 14.4, 11, DDR4,
Apacer Technology 78.CAGMR.40C0B 8GB, 73, 14.7, 7.9, DDR4,
Apacer Technology 78.CAGMR.ARC0B 8GB, 23, 14.4, 6.7, DDR4,
Apacer Technology 78.CAGMT.40C0B 8GB, 23, 16.3, 12.3, DDR4,
Apacer Technology 78.CAGN4.4020B 8GB, 17, 21.7, 17.3, DDR4,
Apacer Technology 78.CAGN7.4000C 8GB, 65, 16.8, 8.2, DDR4,
Apacer Technology 78.CAGNK.4040B 8GB, 17, 22.1, 17.2, DDR4,
Apacer Technology 78.CAGNT.4050B 8GB, 22, 17.7, 12.9, DDR4,
Apacer Technology 78.CAGNT.AR40B 8GB, 18, 21.6, 16.5, DDR4,
Apacer Technology 78.CAGP7.40C0B 8GB, 23, 15.4, 9.8, DDR4,
Apacer Technology 78.CAGP7.4020B 8GB, 69, 12.6, 6.3, DDR4,
Apacer Technology 78.CAGP7.AFW0C 8GB, 71, 14, 6.8, DDR4,
Apacer Technology 78.CAGP7.AZ20B 8GB, 23, 14.4, 6.8, DDR4,
Apacer Technology 78.CAGP7.AZC0B 8GB, 23, 15.9, 11.9, DDR4,
Apacer Technology 78.CAGP7.C7C0B 8GB, 75, 13.6, 6.6, DDR4,
Apacer Technology 78.CAGP7.C7Z0B 8GB, 21, 17.7, 13.2, DDR4,
Apacer Technology 78.CAGP7.DFW0C 8GB, 72, 13.8, 6.7, DDR4,
Apacer Technology 78.CAGPE.AUF0B 8GB, 23, 16.7, 12.3, DDR4,
Apacer Technology 78.CAGPL.ARC0B 8GB, 74, 13.9, 6.8, DDR4,
Apacer Technology 78.CAGPN.AZ50C 8GB, 68, 14.9, 8.5, DDR4,
Apacer Technology 78.CAGPN.DF40B 8GB, 21, 19, 13.6, DDR4,
Apacer Technology 78.CAGPP.40C0B 8GB, 63, 17, 8.3, DDR4,
Apacer Technology 78.CAGPP.ARC0B 8GB, 76, 13.8, 5.8, DDR4,
Apacer Technology 78.CAGPP.ARW0B 8GB, 72, 11.9, 5, DDR4,
Apacer Technology 78.CAGPW.40C0B 8GB, 21, 18.4, 14.3, DDR4,
Apacer Technology 78.CAGQ7.ARC0B 8GB, 70, 15.1, 7.5, DDR4,
Apacer Technology 78.CAGQE.C750B 8GB, 76, 13.5, 7.8, DDR4,
Apacer Technology 78.CAGR4.40C0B 8GB, 34, 16.8, 11.3, DDR4,
Apacer Technology 78.CAGR4.DFC0B 8GB, 72, 9.6, 4.2, DDR4,
Apacer Technology 78.CAGR9.40C0B 8GB, 19, 19.9, 18.4, DDR4,
Apacer Technology 78.CAGRN.40C0B 8GB, 58, 17.4, 8.5, DDR4,
Apacer Technology 78.CAGSZ.4070B 8GB, 22, 16.9, 13.4, DDR4,
Apacer Technology 78.D1GMM.AU10B 16GB, 24, 17, 13.8, DDR4,
Apacer Technology 78.D1GS7.B7B0B 16GB, 27, 17.6, 14.4, DDR4,
Apacer Technology 78.D2GF2.4010B 16GB, 22, 17.6, 13.7, DDR4,
Apacer Technology 78.D2GF2.AU30B 16GB, 32, 14.6, 11.2, DDR4,
Apacer Technology 78.D2GFH.4030B 16GB, 25, 17.7, 13.8, DDR4,
Apacer Technology 78.D2GG7.AU30B 16GB, 31, 16.8, 14.3, DDR4,
Apacer Technology 78.DAGNN.4030B 16GB, 64, 17.9, 10.2, DDR4,
Apacer Technology 78.DAGP2.4030B 16GB, 22, 18.3, 14, DDR4,
Apacer Technology 78.DAGQ7.40B0B 16GB, 38, 17, 9.2, DDR4,
Apacer Technology 78.DAGRL.4050C 16GB, 22, 17.7, 14.4, DDR4,
Apacer Technology AQD-D4U8GN24-SE 8GB, 23, 17.5, 13.4, DDR4,
Apacer Technology AQD-D4U8GN26-SE 8GB, 21, 16.4, 7.8, DDR4,
Apacer Technology AQD-SD4U4GN24-SG 4GB, 83, 14.8, 6.5, DDR4,
Apacer Technology D12.2324CS.001 8GB, 29, 17.5, 13.8, DDR4,
Apacer Technology D12.2324WT.001 8GB, 21, 18.1, 13.8, DDR4,
Apacer Technology D12.2326WH.001 16GB, 80, 16, 8.9, DDR4,
Apacer Technology D12.2344DT.001 4GB, 64, 17.6, 8.3, DDR4,
Apacer Technology D12.2356WS.001 8GB, 30, 16.7, 13.2, DDR4,
Apacer Technology D12.2755BS.001 16GB, 33, 16.1, 12.2, DDR4,
Apacer Technology D22.2221ZA.001 8GB, 50, 12.8, 6.6, DDR4,
Apacer Technology D22.23263S.002 16GB, 31, 16.5, 14.3, DDR4,
Apacer Technology GD2.0918CT.001 4GB, 71, 15.2, 8.1, DDR4,
Apacer Technology GD2.0927WH.001 8GB, 71, 15.4, 8, DDR4,
Apacer Technology GD2.1129WH.001 16GB, 23, 17.5, 13.8, DDR4,
Apacer Technology GD2.1140CH.001 4GB, 62, 17.2, 9.6, DDR4,
